"","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi",""
"a) Rezident banklara","6 860","6 860","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","6 860","6 860"
"b) Qeyri-rezident banklara","185 167","185 167","0","0","0","","0","0","","0","170","","170","38","","38","1 027","","1 027","0","","0","464","","464","881","","881","171","","171","0","","0","7 842","","7 842","340","","340","0","","0","0","0","0","0","0","0","0","0","196 099","196 099"
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0","0"
"daxil olmaqla 7 günədək olanlar)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər, cəmi","9 775","9 775","0","0","0","","0","0","","0","40 033","","9 009","17 000","","0","0","","0","0","","0","17 000","","0","8 500","","0","0","","0","0","","0","0","","0","2 000","","0","17 000","","0","62 500","0","55 075","0","0","0","0","0","228 882","18 784"
"a) Rezident maliyyə institutlarına","0","0","0","0","0","","0","0","","0","31 024","","0","17 000","","0","0","","0","0","","0","17 000","","0","8 500","","0","0","","0","0","","0","0","","0","2 000","","0","17 000","","0","62 500","0","55 075","0","0","0","0","0","210 099","0"
"a1) müddəti çatmamış depozitlər","0","0","0","0","0","","0","0","","0","31 024","","0","17 000","","0","0","","0","0","","0","17 000","","0","8 500","","0","0","","0","0","","0","0","","0","2 000","","0","17 000","","0","62 500","0","55 075","0","0","0","0","0","210 099","0"
"a2) qaytarılma müddəti bitmiş depozitlər","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","","","0","0"
"b) Qeyri-rezident maliyyə institutlarına","9 775","9 775","0","0","0","","0","0","","0","9 009","","9 009","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","18 784","18 784"
"b1) müddəti çatmamış depozitlər","9 775","9 775","0","0","0","","0","0","","0","9 009","","9 009","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","18 784","18 784"
"b2) qaytarılma müddəti bitmiş depozitlər","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","","","0","0"
"6. Əks REPO əməliyyatları üzrə","0","0","37 613","0","3 668","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","41 281","0"
"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətli","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0","0","9 901","0","107 256","","84 980","93 217","","0","13 225","","0","4 109","","0","23 083","","1 700","97 903","","85 111","16 111","","3 315","19 954","","0","192 000","","0","87 125","","87 125","19 857","","1 836","125 582","","84 664","20 259","","15","253 390","83 315","168 512","44 691","250 430","174 706","11 785","6 460","1 513 699","657 918"
"kağızlara investisiyalar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçün","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","25 000","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","184 394","0","209 394","0"
"qiymətli kağızlar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0","0","5 950","5 950","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","10 000","","0","0","","0","0","","0","8 500","","0","0","","0","8 500","","0","40 000","","0","0","0","0","0","8 500","8 500","0","0","81 450","14 450"
"istisna olmaqla, banklara kreditlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a) cari kreditlər","0","0","5 950","5 950","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","10 000","","0","0","","0","0","","0","8 500","","0","0","","0","8 500","","0","40 000","","0","0","0","0","0","8 500","8 500","0","0","81 450","14 450"
"a1) Rezident banklara","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","10 000","","0","0","","0","0","","0","8 500","","0","0","","0","8 500","","0","40 000","","0","0","0","0","0","0","0","0","0","67 000","0"
"a2) Qeyri-rezident banklara","0","0","5 950","5 950","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","8 500","8 500","0","0","14 450","14 450"
"b) vaxtı keçmiş  kreditlər","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0","0"
