"","ani","","1-7","","8-14","","15-30","","31-60","","61-90","","91-120","","121-150","","151-180","","181-210","","211-240","","241-270","","271-300","","301-330","","331-365 (366)","","1-2 il","","2-3 il","","3-5 il","","5 ildən artıq","","Cəmi",""
"a2) Qeyri-rezident","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"b) vaxtı keçmiş  kreditlər","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"b1)Rezident","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","","0,00","0,00"
"b2) Qeyri-rezident","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","","0,00","0,00"
"11. Müştərilərə verilən kreditlər","34 228,88","3 556,76","2 799,55","227,75","7 154,92","99,48","18 388,30","526,86","57 176,24","4 548,14","62 095,68","5 132,19","85 733,83","26 369,31","55 098,27","5 989,59","56 424,07","6 300,08","46 056,29","648,26","56 347,42","7 446,11","45 393,10","1 190,84","48 494,90","331,15","42 970,63","92,75","55 669,70","111,70","741 467,13","84 553,03","340 219,25","98 013,34","200 933,52","149 976,42","253 676,92","4 845,01","2 210 328,60","399 958,77"
"a) cari kreditlər","34 228,88","3 556,76","2 799,55","227,75","7 154,92","99,48","18 388,30","526,86","57 176,24","4 548,14","62 095,68","5 132,19","85 733,83","26 369,31","55 098,27","5 989,59","56 424,07","6 300,08","46 056,29","648,26","56 347,42","7 446,11","45 393,10","1 190,84","48 494,90","331,15","42 970,63","92,75","55 669,70","111,70","741 467,13","84 553,03","340 219,25","98 013,34","200 933,52","149 976,42","171 183,92","0,00","2 127 835,60","395 113,76"
"b) vaxtı keçmiş kreditlər","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","82 493,00","4 845,01","82 493,00","4 845,01"
"12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işində istifadə","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","59 226,46","0,00","59 226,46","0,00"
"olunmayan əsas vəsaitlər daxil olmaqla)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13. İcmallaşmamış şirkətlərdə investisiyalar və maliyyə iştirakı","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","9 850,42","4 782,00","9 850,42","4 782,00"
"14. Qeyri-maddi aktivlər","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","23 476,33","0,00","23 476,33","0,00"
"15. Digər aktivlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275 740,10","33 638,41","275 740,10","33 638,41"
"16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","293 657,54","6 407,53","293 657,54","6 407,53"
"məqsədli ehtiyatlar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17. Cəmi aktivlər","1 488 871,02","401 725,00","455 506,40","323 384,15","45 920,28","8 140,48","121 017,66","3 138,07","83 385,35","6 266,50","147 361,34","7 719,85","103 466,28","31 368,81","102 679,29","8 485,20","77 810,36","13 073,38","65 521,70","16 866,47","66 123,03","10 640,81","65 107,58","6 346,51","87 834,39","5 376,45","46 122,13","3 244,25","83 326,72","11 971,50","834 634,43","98 443,73","391 309,77","108 644,39","317 065,62","266 108,52","457 504,08","65 100,89","5 040 567,43","1 396 044,96"
