Bank,Period,Indicator table,Element,Sub-element,AZN,FS Line,Item,Currency,Amount vs Share,Total,31-60 days,61-90 days,91+ days,31-60 days_share%inLP,61-90 days_share%inLP,91+ days_share%inLP
abb_bank,2021_Q1,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q1,Balance Sheet,1.5.5,ASSETS,-2574303.0,,,,,,,,,,,
abb_bank,2021_Q1,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q1,Balance Sheet,1.7,ASSETS,1745646.0,,,,,,,,,,,
abb_bank,2021_Q1,Balance Sheet,1.8,ASSETS,0.0,,,,,,,,,,,
abb_bank,2021_Q1,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2021_Q1,Balance Sheet,2.2,LIABILITY,1150.0,,,,,,,,,,,
abb_bank,2021_Q1,Balance Sheet,2.3,LIABILITY,16664042.0,,,,,,,,,,,
abb_bank,2021_Q1,Balance Sheet,2.4,LIABILITY,,,,,,,,,,,,
abb_bank,2021_Q1,Balance Sheet,2.5,LIABILITY,1609579.0,,,,,,,,,,,
abb_bank,2021_Q1,Balance Sheet,2.6,LIABILITY,1605249.0,,,,,,,,,,,
abb_bank,2021_Q1,Balance Sheet,2.7,LIABILITY,0.0,,,,,,,,,,,
abb_bank,2021_Q1,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2021_Q1,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2021_Q1,Balance Sheet,3.4,EQUITY,13026056.0,,,,,,,,,,,
abb_bank,2021_Q1,Balance Sheet,3.4.3,EQUITY,6788719.0,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,1.4,ASSETS,112.0,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,1.5.1,ASSETS,656037.0,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,1.5.5,ASSETS,-26088285.0,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,1.7,ASSETS,1613579.0,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,1.8,ASSETS,0.0,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,2.2,LIABILITY,1150.0,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,2.3,LIABILITY,22294449.0,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,2.4,LIABILITY,7690494.0,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,2.5,LIABILITY,1234379.0,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,2.6,LIABILITY,1605249.0,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,2.7,LIABILITY,,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,3.4,EQUITY,1274931.0,,,,,,,,,,,
abb_bank,2021_Q2,Balance Sheet,3.4.3,EQUITY,6455651.0,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,1.4,ASSETS,134988.0,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,1.5.1,ASSETS,70771118.0,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,1.5.5,ASSETS,-26385354.0,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,1.7,ASSETS,1893878.0,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,1.8,ASSETS,0.0,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,2.2,LIABILITY,1150.0,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,2.3,LIABILITY,18796955.0,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,2.4,LIABILITY,7690494.0,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,2.5,LIABILITY,1457588.0,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,2.6,LIABILITY,1605249.0,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,2.7,LIABILITY,0.0,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,3.4,EQUITY,13588338.0,,,,,,,,,,,
abb_bank,2021_Q3,Balance Sheet,3.4.3,EQUITY,7150385.0,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,1.3,ASSETS,471976.0,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,1.4,ASSETS,154988.0,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,1.5.1,ASSETS,77861383.0,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,1.5.5,ASSETS,-23300371.0,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,1.7,ASSETS,195739.0,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,1.8,ASSETS,0.0,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,2.2,LIABILITY,1150.0,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,2.3,LIABILITY,21328595.0,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,2.4,LIABILITY,7690494.0,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,2.5,LIABILITY,3247091.0,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,2.6,LIABILITY,1607753.0,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,2.7,LIABILITY,0.0,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,3.4,EQUITY,15080749.0,,,,,,,,,,,
abb_bank,2021_Q4,Balance Sheet,3.4.3,EQUITY,6579226.0,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,1.4,ASSETS,157988.0,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,1.5.1,ASSETS,83153399.0,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,1.5.5,ASSETS,-25806138.0,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,1.7,ASSETS,1746526.0,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,1.8,ASSETS,0.0,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,2.2,LIABILITY,1150.0,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,2.3,LIABILITY,21847752.0,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,2.4,LIABILITY,6925494.0,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,2.5,LIABILITY,1601062.0,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,2.6,LIABILITY,1607753.0,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,2.7,LIABILITY,0.0,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,3.4,EQUITY,15024325.0,,,,,,,,,,,
abb_bank,2022_Q1,Balance Sheet,3.4.3,EQUITY,6472652.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1,ASSETS,,,,,,,,,,,,
