,ani,,1-7,,8-14,,15-30,,31-60 ,,61-90 ,,91-120 ,,121-150 ,,151-180 ,,181-210 ,,211-240 ,,241-270 ,,271-300 ,,301-330 ,,331-365 (366) ,,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
assets,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,"o cümlədən, XV ilə (manat ekv.)"
,tot-ins,FXAZNEqui-ins,tot-1-7,FXAZNEqui-1-7,tot-8-14,FXAZNEqui-8-14,tot-15-30,FXAZNEqui-15-30,tot-31-60,FXAZNEqui-31-60,tot-61-90,FXAZNEqui-61-90,tot-91-120,FXAZNEqui-91-120,tot-121-150,FXAZNEqui-121-150,tot-151-180,FXAZNEqui-151-180,tot-181-210,FXAZNEqui-181-210,tot-211-240,FXAZNEqui-211-240,tot-241-270,FXAZNEqui-241-270,tot-271-300,FXAZNEqui-271-300,tot-301-300,FXAZNEqui 301-330,tot-331-365,FXAZNEqui-331-365,tot-1-2,FXAZNEqui-1-2,Tot-2-3,FXAZNEqui-2-3,tot-3-5,FXAZNEqui-3-5,tot>5,FXAZNEqui>5,tot-tot,FXAZNEqui-tot
2. AMB-nın kreditləri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079.94,0,0,0,0,0,0,0,1079.94,XXX
"3. “Loro"" hesabları (bankların müxbir hesabları)",5066.75,5066.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5066.75,5066.75
a) Rezident bankların,2436.5699999999997,2436.5699999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2436.5699999999997,2436.5699999999997
b) Qeyri-rezident bankların,2630.18,2630.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2630.18,2630.18
4. REPO əməliyyatları üzrə,0,0,84682.27,0,0,0,103965.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188648,0
5. Banklararası bazarın qazanılmış qısamüddətli maliyyə alətləri (7-ci gün də daxil olmaqla 7 günədək  olanlar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6. Bankların və digər maliyyə institutların depozitləri,0,0,0,0,638.05,638.05,0,0,0,0,24.65,24.65,0,0,36000,34000,0,0,17000,17000,300,0,0,0,20000.5,20000.5,0,0,3000,0,66483.57,64313.66,578.4300000000001,578.4300000000001,0,0,2198.13,2198.13,146223.33000000002,138753.41999999998
a) Rezident maliyyə institutları,0,0,0,0,638.05,638.05,0,0,0,0,24.65,24.65,0,0,36000,34000,0,0,17000,17000,300,0,0,0,20000.5,20000.5,0,0,3000,0,66483.57,64313.66,578.4300000000001,578.4300000000001,0,0,2198.13,2198.13,146223.33000000002,138753.41999999998
b) Qeyri-rezident maliyyə institutları,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7. Banklardan alınmış kreditlər (7 gündən artıq müddətli olanlar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40353.99,0,0,0,0,0,0,0,40353.99,0
a) Rezident banklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40353.99,0,0,0,0,0,0,0,40353.99,0
b) Qeyri-rezident banklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyə institutlarından alınmış kreditlər",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386830.29,0,386830.29,0
9. Mərkəzi  idarəetmə orqanlarının kreditləri və depozitləri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10. Bələdiyyələrin kreditləri və depozitləri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
