,"784.132,68","133.778,53","0,00",,"0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","784.132,68","133.778,53"
"mübadiləsi şöbələrində, yolda)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"575.224,61","224.099,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"264.138,67","55.492,50","839.363,28","279.592,34"
hesabları),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","8.500,00","0,00","0,00","0,00","7.625,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","40.000,00","0,00","8.500,00","8.500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","64.625,00","8.500,00"
"alətləri istisna olmaqla, banklara kreditlər",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) cari kreditlər,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","8.500,00","0,00","0,00","0,00","7.625,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","40.000,00","0,00","8.500,00","8.500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","64.625,00","8.500,00"
a1) Rezident banklara,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","8.500,00","0,00","0,00","0,00","7.625,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","40.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","56.125,00","0,00"
a2) Qeyri-rezident banklara,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","8.500,00","8.500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","8.500,00","8.500,00"
b) vaxtı keçmiş  kreditlər,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
b1) Rezident banklara,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,"0,00","0,00"
b2) Qeyri-rezident banklara,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,"0,00","0,00"
10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,00","0,00","0,00","0,00","140,00",,"0,00","0,00","0,00","1.100,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","420,75","0,00","0,00","0,00","0,00","0,00","300,00","0,00","2.743,68","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4.704,43","0,00"
