,,,,,1-30 gün,31-60 gün,61-90 gün,91-120 gün,121-150 gün,gün,181-210 gün,211-240 gün,241-270 gün,gün,gün,(366) gün,artıq
"Kredit portfeli, o cümlədən",,,"4,783,112","4,440,450","248,655","22,565","14,946","7,543","6,601","7,777","3,981","3,643","3,232","3,109","2,964","4,874","12,773"
-Biznes,,,"1,610,211","1,554,499","35,786","2,011","3,427",896,"1,308","2,827",166,482,225,647,191,"2,035","5,710"
-İstehlak,,,"2,562,435","2,317,183","173,821","19,377","10,493","6,504","5,265","4,950","3,815","3,161","3,007","2,461","2,773","2,839","6,785"
-Daşınmaz əmlak,,,"610,467","568,767","39,048","1,178","1,025",143,28,,,,,,-,,278
-Digər kreditlər,,,,,,,,,,,,,,,,,
Kreditlərin təminat üzrə bölgüsü,,,,,,,,,,,,,,,,,
,,,,,,,,min manatla,,Kredit,,,,,,,
,Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,,Təminatsız,Nağd vəsaitlə təmin,Qızıl təminatlı,Daşınmaz əmlakla,Daşınar əmlakla təmin,Qarantiyalar ilə,törəmə,,,,,,,
,,,,,olunan,,təmin olunan,olunan,təmin olunan,alətləri ilə,,,,,,,
"Kredit portfeli, o cümlədən",,,"4,783,112","3,269,664","409,275",-,"1,073,830","30,343",-,"təmin 
  -",,,,,,,
-Biznes,,,"1,610,211","752,993","363,512",-,"463,363","30,343",-,-,,,,,,,
-İstehlak,,,"2,562,435","2,516,672","45,763",-,-,-,-,-,,,,,,,
-Daşınmaz əmlak,,,"610,467",-,-,-,"610,467",-,-,-,,,,,,,
-Digər kreditlər,,-,,-,-,-,-,-,-,-,,,,,,,
,,,,Likvidlik riski,,,,,,,,,min manatla,,,,
,,Ödəniş müddətinin bitməsinə qalan günlər,,Ani,1 - 7 gün,8-90 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi,,,,
,3,"Likvidlik ""qəpi""",,"(4,362,079)","906,659","331,957","116,260","73,767","46,789","1,563,527","889,805","433,314",(0.00),,,,
,,Valyuta riski,,,,,,min manatla,,,,,,,,,
,,Maliyyə aktivləri və öhdəlikləri,,Cəmi,AZN,ABŞ Dolları,Avro,Digər,,,,,,,,,
,1,Aktivlər,,"9,984,543","8,214,836","1,672,853","87,298","9,556",,,,,,,,,
,1.1,Nağd və nağd pul ekvivalentləri,,"2,763,677","1,843,345","847,353","64,076","8,904",,,,,,,,,
,1.2,Qiymətli kağızlar/Əks-Repo,,"1,557,705","1,185,888","371,817",0,0,,,,,,,,,
,1.3,Müştərilərə verilmiş kreditlər,,"4,275,123","3,909,150","364,482","1,491",0,,,,,,,,,
,1.4,Kredit təşkilatlarına və digər maliyyə institutlarına verilmiş kreditlər/depozitlər,,"613,063","554,532","38,544","19,987",0,,,,,,,,,
,1.5,Törəmə maliyyə alətləri,,0,0,0,0,0,,,,,,,,,
,1.6,Qısa müddətli maliyyə alətləri,,0,0,0,0,0,,,,,,,,,
,1.7,Əsas vəsaitlər,,"119,340","119,340",0,0,0,,,,,,,,,
,1.8,İnvestisiyalar və maliyyə iştirakı (xalis),,"128,217","119,756","8,461",0,0,,,,,,,,,
,1.9,Digər aktivlər,,"527,418","482,825","42,196","1,745",652,,,,,,,,,
,2,Öhdəliklər,,"9,016,653","7,564,958","1,355,908","86,345","9,442",,,,,,,,,
,2.1,Mərkəzi Bank və dövlət təşkilatlarıın banka qarşı tələbləri,,540,540,0,0,0,,,,,,,,,
,2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,,"829,354","723,031","105,399",901,23,,,,,,,,,
,2.3,Müştərilərin depozitləri,,"7,601,089","6,399,110","1,111,503","81,374","9,102",,,,,,,,,
,2.3.1,a) tələbli depozitlər,,"5,612,448","4,725,036","796,936","81,374","9,102",,,,,,,,,
