,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,
a) Rezident banklara,19 100,19 100,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,19 100,19 100
b) Qeyri-rezident banklara,73 894,73 894,0,0,154,,154,3 145,,3 145,10 724,,10 724,1 020,,1 020,0,,0,0,,0,0,,0,3 774,,3 774,0,,0,469,,469,308,,308,833,,833,884,,884,3 698,3 698,0,0,0,0,0,0,98 903,98 903
4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
daxil olmaqla 7 günədək olanlar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər, cəmi",7 734,7 734,25 500,0,51 000,,51 000,0,,0,25 500,,17 000,37 000,,0,0,,0,0,,0,8 500,,0,27 019,,18 519,0,,0,0,,0,0,,0,0,,0,0,,0,45 500,0,20 000,0,0,0,0,0,247 753,94 253
a) Rezident maliyyə institutlarına,0,0,25 500,0,0,,0,0,,0,8 500,,0,37 000,,0,0,,0,0,,0,8 500,,0,8 500,,0,0,,0,0,,0,0,,0,0,,0,0,,0,45 500,0,20 000,0,0,0,0,0,153 500,0
a1) müddəti çatmamış depozitlər,0,0,25 500,0,0,,0,0,,0,8 500,,0,37 000,,0,0,,0,0,,0,8 500,,0,8 500,,0,0,,0,0,,0,0,,0,0,,0,0,,0,45 500,0,20 000,0,0,0,0,0,153 500,0
a2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,,,0,0
b) Qeyri-rezident maliyyə institutlarına,7 734,7 734,0,0,51 000,,51 000,0,,0,17 000,,17 000,0,,0,0,,0,0,,0,0,,0,18 519,,18 519,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,94 253,94 253
b1) müddəti çatmamış depozitlər,7 734,7 734,0,0,51 000,,51 000,0,,0,17 000,,17 000,0,,0,0,,0,0,,0,0,,0,18 519,,18 519,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,94 253,94 253
b2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,,,0,0
6. Əks REPO əməliyyatları üzrə,0,0,13 553,0,3 657,,0,4 779,,0,2 112,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,24 101,0
7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,10 326,,0,9 771,,850,18 760,,340,11 450,,0,9 379,,0,13 225,,0,3 109,,0,20 583,,1 700,12 839,,340,12 299,,0,19 954,,0,192 000,,0,510,,510,226 789,35 207,205 629,69 311,198 860,145 784,15 485,10 710,980 967,264 752
kağızlara investisiyalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçün,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,133 982,0,133 982,0
qiymətli kağızlar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,18 500,,8 500,0,,0,0,,0,0,,0,8 500,,0,0,0,40 000,0,0,0,0,0,67 000,8 500
"istisna olmaqla, banklara kreditlər",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) cari kreditlər,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,18 500,,8 500,0,,0,0,,0,0,,0,8 500,,0,0,0,40 000,0,0,0,0,0,67 000,8 500
a1) Rezident banklara,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,10 000,,0,0,,0,0,,0,0,,0,8 500,,0,0,,40 000,0,0,0,0,0,58 500,0
a2) Qeyri-rezident banklara,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,8 500,,8 500,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,8 500,8 500
b) vaxtı keçmiş  kreditlər,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
