"","ani","","1-7","","8-14","","15-30","","31-60","","61-90","","91-120","","121-150","","151-180","","181-210","","211-240","","241-270","","","271-300","","301-330","","331-365 (366)","","1-2 il","","2-3 il","","3-5 il","","5 ildən artıq","","Cəmi",""
"a) cari kreditlər","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","8 500,00","8 500,00","0,00","0,00","0,00","0,00","8 500,00","8 500,00"
"a1) Rezident banklara","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"a2) Qeyri-rezident banklara","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","8 500,00","8 500,00","0,00","0,00","0,00","0,00","8 500,00","8 500,00"
"b) vaxtı keçmiş  kreditlər","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"b1) Rezident banklara","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","","0,00","0,00"
"b2) Qeyri-rezident banklara","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","","0,00","0,00"
"10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisna olmaqla,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","25,00","0,00","0,00","0,00","1 000,00","0,00","200,00","0,00","100,00","0,00","100,00","0,00","0,00","","0,00","0,00","0,00","500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1 925,00","0,00"
"digər maliyyə institutlarına kreditlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a) cari kreditlər","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","25,00","0,00","0,00","0,00","1 000,00","0,00","200,00","0,00","100,00","0,00","100,00","0,00","0,00","","0,00","0,00","0,00","500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1 925,00","0,00"
